geometric_sample,binomial_sample,poisson_sample,normal_sample
0.5,0.5,0.26666666666666666,0.38449362313121827
0.5,0.4,0.4,0.6365985205882814
0.5,0.5,0.26666666666666666,0.7603274420530213
0.5,0.5,0.3333333333333333,0.5755391599757504
0.5,0.7,0.26666666666666666,0.21667312270288022
0.5,0.6,0.3333333333333333,0.4058574615384286
0.3333333333333333,0.7,0.2,0.17240793001299817
0.3333333333333333,0.6,0.3333333333333333,0.554781984945768
0.3333333333333333,0.1,0.13333333333333333,0.7671671528213297
0.5,0.4,0.4,0.41321697366544835
0.2,0.4,0.26666666666666666,0.4047717763670125
0.25,0.6,0.4666666666666667,0.3661407779977163
0.25,0.3,0.4,0.6735860594982175
0.5,0.5,0.26666666666666666,0.5861729988475102
0.14285714285714285,0.6,0.13333333333333333,0.4582694146960955
0.2,0.6,0.13333333333333333,0.39377663663338336
0.25,0.4,0.2,0.4980510727760147
0.3333333333333333,0.6,0.4666666666666667,0.42063934182585155
0.5,0.4,0.3333333333333333,0.47129891832829357
0.16666666666666666,0.6,0.26666666666666666,0.13000373094950296
0.2,0.5,0.3333333333333333,0.4224098683790307
0.5,0.4,0.26666666666666666,0.353434967251871
0.5,0.5,0.26666666666666666,0.44443341136604075
0.5,0.4,0.4666666666666667,0.4619977894377049
0.25,0.3,0.26666666666666666,0.5426072787034341
0.25,0.7,0.2,0.4494548370486718
0.5,0.6,0.4666666666666667,0.24178658332094422
0.25,0.3,0.26666666666666666,0.5805764793961132
0.25,0.7,0.4666666666666667,0.25162247447736075
0.5,0.6,0.13333333333333333,0.2738962305846888
0.3333333333333333,0.8,0.5333333333333333,0.6928423729589483
0.5,0.4,0.2,0.4339967423820966
0.5,0.5,0.26666666666666666,0.08232220327655458
0.5,0.5,0.4,0.223470601605463
0.2,0.6,0.2,0.8106489106754812
0.5,0.6,0.3333333333333333,0.5970375163747146
0.25,0.3,0.26666666666666666,0.5581914000190993
0.5,0.3,0.3333333333333333,0.4084615097638739
0.5,0.8,0.8,0.42723692021580545
0.2,0.4,0.4,0.23555530410550168
0.3333333333333333,0.3,0.4,0.6141501751486749
0.3333333333333333,0.7,0.26666666666666666,0.7614269995729457
0.5,0.3,0.13333333333333333,0.5279382949004061
0.3333333333333333,0.4,0.4666666666666667,0.46888959140835706
0.5,0.5,0.7333333333333333,0.12867433349656596
0.5,0.7,0.26666666666666666,0.3698612534006537
0.5,0.4,0.4,0.6535960413942117
0.5,0.5,0.3333333333333333,0.3722589522948503
0.5,0.7,0.4,0.20851327480408716
0.3333333333333333,0.8,0.6,0.3935181997123706
0.3333333333333333,0.4,0.4666666666666667,0.33700465280012065
0.5,0.6,0.26666666666666666,0.15928647848492833
0.3333333333333333,0.5,0.6,0.7149058604281426
0.5,0.5,0.26666666666666666,0.29488881987541693
0.5,0.6,0.5333333333333333,0.5477861325173322
0.5,0.7,0.5333333333333333,0.2590529254670505
0.5,0.5,0.2,0.3792936612793456
0.3333333333333333,0.6,0.4,0.2659794574560463
0.5,0.6,0.3333333333333333,0.6181434349819859
0.5,0.4,0.26666666666666666,0.5616698175412438
0.3333333333333333,0.2,0.06666666666666667,0.5793382554058827
0.3333333333333333,0.6,0.13333333333333333,0.5195007696620564
0.2,0.6,0.2,0.11118185174884357
0.3333333333333333,0.4,0.06666666666666667,0.28799892084553796
0.5,0.6,0.5333333333333333,0.33222820189002383
0.3333333333333333,0.5,0.4,0.5717003250935664
0.5,0.2,0.5333333333333333,0.7762184920173619
0.5,0.3,0.26666666666666666,0.4357312058701239
0.5,0.4,0.3333333333333333,0.28007206499487813
0.3333333333333333,0.4,0.2,0.08283235959555758
0.5,0.6,0.26666666666666666,0.38452203362671183
0.5,0.3,0.4666666666666667,0.2652050822409528
0.5,0.7,0.4666666666666667,0.5655905481030384
0.3333333333333333,0.6,0.4,0.19376256462217736
0.3333333333333333,0.4,0.13333333333333333,0.5504329761024827
0.5,0.7,0.5333333333333333,0.6710821069295272
0.3333333333333333,0.6,0.3333333333333333,0.6168554447429311
0.5,0.4,0.4,0.881592724916934
0.5,0.6,0.13333333333333333,0.4808085704574705
0.25,0.3,0.13333333333333333,0.8623288058260974
0.3333333333333333,0.6,0.4,0.48053847707216324
0.5,0.4,0.4666666666666667,0.7148252450256138
0.2,0.6,0.2,0.3602192074037308
0.5,0.6,0.6,0.4667217311539179
0.5,0.5,0.3333333333333333,0.790460307695234
0.5,0.7,0.4666666666666667,0.8261246017587557
0.25,0.4,0.26666666666666666,0.9129659088373537
0.5,0.2,0.13333333333333333,0.09158330202576115
0.5,0.5,0.06666666666666667,0.6260500593944518
0.3333333333333333,0.5,0.4,0.3009387778827219
0.25,0.6,0.26666666666666666,0.8268222897454265
0.5,0.2,0.13333333333333333,0.149666549607281
0.5,0.2,0.4666666666666667,0.23667123695267467
0.5,0.5,0.3333333333333333,0.6233003607037769
0.5,0.4,0.26666666666666666,0.19804149989194045
0.5,0.4,0.13333333333333333,0.5260314818133305
0.2,0.5,0.4,0.20252161396048887
0.25,0.5,0.4666666666666667,0.7248012386869636
0.25,0.4,0.2,0.15386657749578508
0.5,0.3,0.26666666666666666,0.3826329632041765
0.3333333333333333,0.4,0.2,0.40585694412162565
0.5,0.6,0.4,0.8932492921881129
0.5,0.2,0.2,0.692728857614109
0.25,0.4,0.7333333333333333,0.18557056050355078
0.25,0.4,0.3333333333333333,0.8687373789195549
0.3333333333333333,0.7,0.3333333333333333,0.9019351028252693
0.3333333333333333,0.5,0.2,0.49336085613658115
0.3333333333333333,0.3,0.4666666666666667,0.28329714902239617
0.3333333333333333,0.6,0.4,0.7638510710736595
0.3333333333333333,0.3,0.13333333333333333,0.7890073921415143
0.25,0.3,0.3333333333333333,0.5039315940931768
0.5,0.5,0.26666666666666666,0.3852076682303042
0.3333333333333333,0.4,0.3333333333333333,0.6232266383772703
0.3333333333333333,0.6,0.4,0.6831017978002192
0.3333333333333333,0.2,0.4666666666666667,0.08816465364594961
0.5,0.9,0.26666666666666666,0.46288493565429156
0.25,0.5,0.06666666666666667,0.5176585500101333
0.25,0.7,0.2,0.5789817434010565
0.5,0.5,0.4666666666666667,0.6714677685934657
0.3333333333333333,0.3,0.26666666666666666,0.5204460507637471
0.5,0.7,0.3333333333333333,0.23830898064151243
0.2,0.5,0.3333333333333333,0.3832007922754568
0.5,0.4,0.2,0.5936393166341553
0.5,0.4,0.4,0.6539213100721729
0.5,0.4,0.3333333333333333,0.787435109139308
0.5,0.5,0.13333333333333333,0.5288323971640243
0.25,0.4,0.4,0.39788583609291206
0.5,0.3,0.3333333333333333,0.23327318668221836
0.16666666666666666,0.3,0.3333333333333333,0.36428185367790156
0.3333333333333333,0.5,0.2,0.6637189946863057
